,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Święto Wojska Polskiego,"['Dzień Wojska Polskiego', 'Święto Żołnierza Polskiego']",['Święta'],,,,,
Wojska radiotechniczne,,['Wojsko'],"['Radiolokacja', 'Radiotechnika', 'Rozpoznanie (wojsko)', 'System rozpoznania radioelektronicznego']",,,,
Orkan (niszczyciel ; 1942-1943),"['ORP Orkan', 'Niszczyciel ORP Orkan (1942-1943)', 'Niszczyciel Orkan (1942-1943)', 'Orkan (okręt)']",['Niszczyciele (okręty)'],,,,,
Mikojan MiG-1,['MiG-1'],['Mikojan MiG (samoloty)'],,,,,
Sikorsky UH-60A Black Hawk (śmigłowiec wojskowy),"['Śmigłowiec wojskowy Sikorsky UH-60A Black Hawk', 'Black Hawk (śmigłowiec wojskowy)', 'UH-60A (śmigłowiec wojskowy)']",['Śmigłowce wojskowe'],,,,,
Iljuszyn Ił-4 (samolot bombowy),"['Iljuszyn Ił-4', 'DB-3', 'DB-3f', 'Iliuszyn Ił-4', 'Ił-4']",['Samoloty bombowe'],,,,,
Jermołajew Jer-2 (samolot bombowy),"['Jermołajew Jer-2', 'DB-240', 'Jer-2']",['Samoloty bombowe'],,,,,
Służba ratownictwa lotniczego,,"['Lotnictwo wojskowe', 'Ratownictwo wojskowe']",,,,,
Antonow An-24 (samolot pasażerski),"['An-24', 'Antonov An-24']",['Samoloty pasażerskie'],,,,,
Tupolev TB-7 (samolot bombowy),"['Tupolev TB-7', 'ANT-42', 'Pe-8', 'TB-7', 'Tupolev Pe-8', 'Tupolev ANT-42', 'Tupolew ANT-42', 'Tupolew Pe-8', 'Tupolew TB-7']",['Samoloty bombowe'],,,,,
Tajni współpracownicy policji,"['Agenci policji', 'Informatorzy policji', 'Konfidenci policji', 'Osobowe źródła informacji', 'Tajni agenci policji']",,"['Czynności operacyjne', 'Policja']",,,,
Czynności operacyjne,"['Czynności operacyjno-rozpoznawcze', 'Czynności rozpoznawcze', 'Kontrola operacyjna', 'Praca operacyjna', 'Techniki operacyjne']",['Śledztwo i dochodzenie'],['Tajni współpracownicy policji'],"['Interwencja policyjna', 'Inwigilacja', 'Prowokacja policyjna', 'Rozpytanie', 'Test integralności (czynność operacyjna)']",,,
Twierdza Szczecin,"['Festung Stettin', 'Szczecin, Twierdza']",['Twierdze i fortyfikacje'],,,,,
Gantiskopia,,['Kryminalistyka'],,,,,
ŁaGG-3 (samolot myśliwski),"['LaGG-3', 'Lavochkin-Gorbunov-Goudkov LaGG-3', 'Lavočkin-Gorbunov-Gudkov LaGG-3', 'Ławoczkin-Gorbunow-Gudkow ŁaGG-3']",['Samoloty myśliwskie'],,,,,
Wiatrówka (broń),,"['Karabin', 'Pistolet']",,,,,
Iljuszyn Ił-28 (samolot bombowy),"['Iljuszyn Ił-28', 'Avia B-228', 'Avia CB-228', 'Harbin H-5', 'Harbin HJ-5', 'Harbin H2-5', 'Ił-28', 'Ił-28-131', 'Ił-28BM', 'Ił-28ŁŁ', 'Ił-28M', 'Ił-28P', 'Ił-28PŁ', 'Ił-28R', 'Ił-28REB', 'Ił-28RTR', 'Ił-28T', 'Ił-28U', 'Ił-282A']",['Samoloty bombowe'],,,,,
Wojna górska,['Mountain warfare'],['Wojna'],"['Góry', 'Wojska górskie']",,,,
Grom (niszczyciel ; 1937-1940),"['ORP Grom', 'Niszczyciel ORP Grom (1937-1940)', 'Niszczyciel Grom', 'Grom (okręt)']",['Niszczyciele (okręty)'],,,,,
Wicher (okręt),['ORP Wicher'],['Okręty wojenne'],,,,,
Exeter (okręt),['HMS Exeter'],,,,,,
Hełmy (wojsko),['Helmets'],"['Broń ochronna', 'Ekwipunek wojskowy', 'Hełmy']",,"['Kapalin', 'Szyszak (hełm)']",,,
Szyszak (hełm),,"['Hełmy (wojsko)', 'Zbroja']",,,,,
Bierna obrona przeciwlotnicza,"['Obrona przeciwlotnicza bierna', 'Obrona przeciwlotnicza pasywna']",['Obrona przeciwlotnicza'],['Zaciemnienie (wojskowość)'],,,,
Psychiatria wojskowa,,"['Medycyna wojskowa', 'Psychiatria']",['Nerwice wojenne'],,,,
Suchoj Su-32 (samolot wojskowy),"['S-32 (samolot wojskowy)', 'Su-32 (samolot wojskowy)']",['Samoloty wojskowe'],,,,,
Czołgi lekkie,"['Light tanks (Military science)', 'Tankietki', 'Tanks light (Military science)']",['Czołgi'],,"['4TP (czołg)', '7TP (czołg)', 'Czołgi pływające', 'Czołgi rozpoznawcze', 'Hotchkiss H-35/H-39', 'Kleiner Panzerbefehlswagen', 'M3/M5 Stuart (czołg)', 'M24 Chaffee (czołg)', 'Panzerkampfwagen I', 'Panzerkampfwagen II', 'Panzerkampfwagen 38(t)', 'Renault FT (czołg)', 'Renault R35', 'T-26 (czołg)', 'Vickers Mark E']",,,
Czołgi pływające,['Czołgi-amfibie'],['Czołgi lekkie'],['Amfibie'],"['LVT(A)-1 (czołg)', 'PZInż 130 (czołg)']",,,
Czołgi ciężkie,"['Heavy tanks (Military science)', 'Tanks heavy (Military science)']",['Czołgi'],,"['Char B1 (czołg)', 'Grosstraktor', 'IS (czołg)', 'M26 Pershing (czołg)', 'Neubaufahrzeug', 'Panzerkampfwagen VI B Tiger II']",,,
Czołgi średnie,"['Medium tanks (Military science)', 'Tanks medium (Military science)']",['Czołgi'],,"['Cruiser Mk V Covenanter', 'Cruiser Mk VII Cavalier', 'Cruiser Mk VIII Centaur', 'Cruiser Mk VIII Challenger', 'M26 Pershing (czołg)', 'M4 Sherman (czołg)', 'Mk VI Crusader (czołg)', 'Mk VIII Cromwell (czołg)', 'Mk Matilda (czołg)', 'Panzerbefehlswagen', 'Panzerbeobachtungswagen III', 'Panzerkampfwagen III', 'Panzerkampfwagen IV', 'Panzerkampfwagen V Panther', 'Somua S-35 (czołg)', 'T-28 (czołg)', 'T-34 (czołg)', 'T-55 (czołg)', 'T-64 (czołg)']",,,
Czołgi rozpoznawcze,,['Czołgi lekkie'],['Rozpoznanie (wojsko)'],"['4TP (czołg)', 'Carden-Loyd Mk VI (czołg)', 'PZInż 130 (czołg)', 'TK-3 (czołg)', 'TKS (czołg)']",,,
Kontrola ruchu lotniczego,"['Air Traffic Control (ATC)', 'ATC']",['Kontrola'],"['Bezpieczeństwo powietrzne państwa', 'Jednolite Europejskie Niebo', 'Kontrolerzy ruchu lotniczego', 'Ruch lotniczy']",,,,
Santísima Trinidad (okręt),"['Nuestra Senora de la Santísima Trinidad (okręt)', 'Santísima Trinidad y Nuestra Senora del Buen Fin (okręt)']",,,,,,
Mil Mi-17,"['Mi-17', 'Mi8 MTV-1']",['Śmigłowce wojskowe'],,,,,
Wąż pożarniczy,['Węże pożarnicze'],"['Sprzęt ratowniczo-gaśniczy', 'Wąż hydrauliczny']",['Prądownica'],,,,
Propaganda wojenna,,['Propaganda'],"['Walka informacyjna', 'Wojna']",,,,
Ratownicy medyczni,['Technicy medyczni pomocy doraźnej'],"['Pracownicy służby zdrowia', 'Zawody medyczne']","['Medycyna ratunkowa', 'Pierwsza pomoc', 'Ratownictwo medyczne', 'Skuteczne działanie w stresie (program)']",,,,
Kartaczownica (karabin),['Mitralieza'],['Karabin maszynowy'],,,,,
Znak tożsamości żołnierza,"['Nieśmiertelnik (wojskowość)', 'Tabliczka tożsamości']",['Ekwipunek wojskowy'],"['Identyfikacja osób', 'Straty wojenne', 'Żołnierze']",,,,
Cavalla (okręt podwodny),"['AGSS-244', 'USS Cavalla', 'SS-244']",['Okręty podwodne'],,,,,
Dewoitine D.520 (samolot myśliwski),"['D-520 (samolot myśliwski)', 'D.520 (samolot myśliwski)', 'Samolot Dewoitine D.520 (samolot myśliwski)']",['Samoloty myśliwskie'],,,,,
Supermarine Stranraer (wodnosamolot),['Stranraer (wodnosamolot)'],"['Samoloty wojskowe', 'Wodnosamolot']",,,,,
Supermarine Walrus (wodnosamolot),"['Mors (wodnosamolot)', 'Seagull Mk V (wodnosamolot)', 'Seagull V (wodnosamolot)', 'Supermarine 228 (wodnosamolot)', 'Supermarine Seagull Mk V (wodnosamolot)', 'Supermarine Seagull V (wodnosamolot)', 'Walrus (wodnosamolot)']","['Samoloty wojskowe', 'Wodnosamolot']",,,,,
Dzik (samochód pancerny),['AMZ Dzik'],['Samochody pancerne'],,,,,
Hummer (samochody wojskowe),"['High Mobility Multipurpose Wheeled Vehicle', 'HMMWV', 'Humvee']",['Samochody wojskowe'],,,,,
Technicy pożarnictwa,,['Pożarnictwo'],,,,,
Ratownictwo drogowe,,['Ratownictwo'],"['Bezpieczeństwo ruchu drogowego', 'Transport drogowy', 'Wypadki drogowe']",,,,
Warszawski Rejon Umocniony,"['Varšavskoj ukreplennoj rajon', 'Warszawski Rejon Forteczny']",,,,,,
Drzwi i bramy przeciwpożarowe,"['Bramy przeciwpożarowe', 'Drzwi przeciwpożarowe']","['Brama', 'Drzwi', 'Sprzęt ratowniczo-gaśniczy']",,,,,
Sport pożarniczy,,"['Sport', 'Strażacy']",['Pożarnictwo'],,,,
Twierdza Dyjament (Ryga),,['Twierdze i fortyfikacje'],,,,,
Antonow An-2 (samolot transportowy),"['An-2', 'Antonov An-2']","['Dwupłatowce', 'Samoloty transportowe']",,,,,
Jakowlew Jak-27 (samolot wojskowy),"['Jakovlev Jak-27 (samolot wojskowy)', 'Jakovlev Jak-27R (samolot wojskowy)', 'Jakovlev Jak-27R Mangrove (samolot wojskowy)', 'Jak-27 (samolot wojskowy)', 'Jak-27R (samolot wojskowy)', 'Mangrove (samolot wojskowy)', 'Yak-27 (samolot wojskowy)', 'Yakovlev Yak-27 (samolot wojskowy)']","['Samoloty myśliwskie', 'Samoloty rozpoznawcze']",,,,,
Panzerkampfwagen VI Tiger,"['PzKpfw VI', 'PzKpfw VI Tiger', 'PzKpfw VI (SdKfz 181) Tiger Ausf E', 'SdKfz 181 Panzerkampfwagen VI ""Tiger"" Ausf. H1', 'Tiger', 'Tiger Color (milit.)', 'Tiger Colours (milit.)', 'Tygrys (czołg)']",['Czołgi ciężkie'],,,,,
Rezerwy osobowe wojska,,,['Potencjał wojenny'],,,,
Fuso (okręt),,['Okręty wojenne'],,,,,
"8,8 Flak (działo przeciwlotnicze)","['Acht-acht', 'Acht-komma-acht Zentimeter', 'Armata przeciwlotnicza kal. 88 mm', 'German 8,8-cm-Anti-Aircraft Gun Material', 'Osiemdziesiątka ósemka', '8,8 cm Flak 18 (działo przeciwlotnicze)', '8,8 cm Flak']",['Armaty przeciwlotnicze'],,,,,
Służby mundurowe,"['Zawody mundurowe', 'Uniformed services']",['Zawód'],"['Klasa mundurowa', 'Kobiety w służbach mundurowych', 'Oficerowie łącznikowi', 'Opiniowanie służbowe funkcjonariuszy', 'Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2009', 'Przywrócenie do służby', 'Stopnie wojskowe i służb mundurowych', 'Stosunek służbowy służb mundurowych', 'Wystąpienie ze służby', 'Zwolnienie ze służby']","['Milicja', 'Policja', 'Służba celna', 'Służba więzienna', 'Straż gminna', 'Strażacy', 'Wojsko', 'Żołnierze']",,,
Psycholodzy policyjni,['Psycholodzy milicyjni'],"['Policja', 'Psycholodzy']","['Psychologia kryminalistyczna', 'Psychologia stosowana']",,,,
Ratownicy górscy,,['Zawód'],['Ratownictwo górskie'],,,,
Graf Zeppelin (okręt),['Flugzeugträger Graf Zeppelin'],['Lotniskowce'],['Marynarka wojenna'],,,,
Puck (statek szkolno-badawczy),['MS Puck'],,,['Statki badawcze'],,,
Kubuś (samochód pancerny),,"['Samochody pancerne', 'Transportery opancerzone']",,,,,
Krzyż Rycerski Krzyża Żelaznego,"['Krzyż Rycerski', 'Ritterkreuz', 'Ritterkreuz des Eisernen Kreuzes']",['Ordery i odznaczenia'],"['Krzyż Żelazny', 'Trzecia Rzesza (1933-1945)']",,,,
Gwardia narodowa,"['Karabinierzy', 'Żandarmeria narodowa']","['Milicja', 'Organizacje paramilitarne']",,,,,
Kawasaki Ki-100,"['Kawasaki Ki-100-Ib', 'Ki-100-Ib']",['Samoloty myśliwskie'],,,,,
Mitsubishi J2M Raiden,"['Jack (samolot myśliwski)', 'Mitsubishi Raiden', 'Raiden (samolot myśliwski)']",['Samoloty myśliwskie'],,,,,
Wsparcie lotnicze,,['Wsparcie bojowe'],['Lotnictwo wojskowe'],,,,
Ling Temco Vought A-7 Corsair II,"['A-7', 'A-7D', 'Corsair II', 'LTV A-7 Corsair II']",['Samoloty szturmowe'],,,,,
System Informacyjny Schengen II,"['Schengen II, System Informacyjny', 'Schengen Information System II', 'SIS II']",['Systemy informacyjne'],"['Krajowy System Informatyczny (KSI)', 'Polityka Sprawiedliwości i Spraw Wewnętrznych UE', 'Przestępczość', 'Układ z Schengen (1985)']",,,,
Edukacja dla bezpieczeństwa,"['Education for safety', 'Edukacja do bezpieczeństwa', 'Edukacja obronna', 'Szkolenia obronne', 'Szkolenie obronne']","['Bezpieczeństwo publiczne', 'Kształcenie', 'Ratownictwo medyczne']","['Bezpieczeństwo narodowe', 'Bezpieczna i przyjazna szkoła (program rządowy)', 'Bezpieczna plus (program rządowy)', 'Edukacja dla bezpieczeństwa (przedmiot szkolny)', 'Klasa mundurowa', 'Nauczyciele edukacji dla bezpieczeństwa', 'Nauki o bezpieczeństwie', 'Przysposobienie wojskowe', 'Szkolne koła LOK']",,,,
Patroni jednostek wojskowych,"['Patroni wojska', 'Patronowie jednostek wojskowych', 'Patronowie wojska']","['Nazwy własne', 'Patroni']",,,,,
Ceremoniał pożarniczy,"['Ceremoniał strażacki', 'Obrzędy pożarnicze', 'Obrzędy strażackie', 'Rytuały pożarnicze', 'Rytuały strażackie']","['Kultura organizacyjna', 'Rytuały i ceremonie']",['Pożarnictwo'],,,,
Lekarze wojskowi,,['Lekarze specjaliści'],['Medycyna wojskowa'],,,,
Ratownictwo jaskiniowe,,['Ratownictwo'],"['Ratownictwo górskie', 'Ratownictwo wodne', 'Speleologia']",,,,
Hełmy strażackie,['Hełmy pożarnicze'],['Hełmy'],['Pożarnictwo'],,,,
Cyberterroryzm,"['Terroryzm elektroniczny', 'Terroryzm internetowy', 'Cyberterrorism']","['Cyberprzestępczość', 'Terroryzm']","['Internet', 'Wojna cybernetyczna']",,,,
Wywiad austriacki,,,['Wywiad'],['Wywiad wojskowy austriacki'],,,
Wywiad rosyjski,,,['Wywiad'],['Wywiad wojskowy rosyjski'],,,
Wywiad niemiecki,,,['Wywiad'],['Wywiad wojskowy niemiecki'],,,
Wywiad japoński,,,['Wywiad'],['Wywiad wojskowy japoński'],,,
Wywiad białoruski,,,['Wywiad'],['Wywiad wojskowy białoruski'],,,
Wywiad wojskowy białoruski,['Białoruski wywiad wojskowy'],['Wywiad białoruski'],['Wywiad wojskowy'],,,,
Wywiad polski,,,"['Sprawa Bergu (1950-1954)', 'Wywiad']",['Wywiad wojskowy polski'],,,
Wywiad wojskowy polski,['Polski wywiad wojskowy'],['Wywiad polski'],"['Akcja V-1, V-2', 'Operacja ""Łom"" (1938)', 'Wywiad wojskowy']",,,,
Wywiad wojskowy austriacki,['Austriacki wywiad wojskowy'],['Wywiad austriacki'],['Wywiad wojskowy'],,,,
Wywiad radziecki,"['Wywiad sowiecki', 'Wywiad Związku Radzieckiego']",,"['Operacja ""Trust"" (1921-1926)', 'Projekt Venona', 'Wywiad']",['Wywiad wojskowy radziecki'],,,
Wywiad amerykański,['Wywiad Stanów Zjednoczonych'],,"['Agenci CIA', 'Agenci FBI', 'Sprawa Bergu (1950-1954)', 'Wywiad']",['Wywiad wojskowy amerykański'],,,
Wywiad angielski,"['Wywiad brytyjski', 'Wywiad Wielkiej Brytanii']",,['Wywiad'],['Wywiad wojskowy angielski'],,,
Wywiad chiński,,,['Wywiad'],['Wywiad wojskowy chiński'],,,
Wywiad czechosłowacki,,,['Wywiad'],['Wywiad wojskowy czechosłowacki'],,,
Wywiad francuski,,,['Wywiad'],['Wywiad wojskowy francuski'],,,
Wywiad hiszpański,,,['Wywiad'],,,,
Wywiad izraelski,,,"['Operacja Plumbat (1968)', 'Wywiad']",['Wywiad wojskowy izraelski'],,,
Paralizator elektryczny,"['Broń elektryczna', 'Elektryczna strzelba Thomasa A. Swifta', 'Taser', ""Thomas A. Swift's Electric Rifle""]",['Broń'],"['Rażenie prądem elektrycznym', 'Porażenie']",,,,
Wywiad wojskowy niemiecki,['Niemiecki wywiad wojskowy'],['Wywiad niemiecki'],['Wywiad wojskowy'],,,,
Wywiad wojskowy amerykański,"['Wywiad wojskowy Stanów Zjednoczonych', 'Amerykański wywiad wojskowy']",['Wywiad amerykański'],['Wywiad wojskowy'],,,,
Operacja Plumbat (1968),"['Afera Plumbat', 'Plumbat (operacja)']",,"['Broń jądrowa', 'Wywiad izraelski']",,,,
Wywiad niemiecki (NRD),"['Wywiad Republiki Demokratycznej Niemiec', 'Wywiad wschodnioniemiecki']",,['Wywiad'],,,,
Wywiad niemiecki (RFN),"['Wywiad Republiki Federalnej Niemiec', 'Wywiad zachodnioniemiecki']",,['Wywiad'],,,,
Wywiad papieski,"['Wywiad Państwa Kościelnego', 'Wywiad watykański']",,['Wywiad'],,,,
Wywiad wojskowy japoński,['Japoński wywiad wojskowy'],['Wywiad japoński'],['Wywiad wojskowy'],,,,
Projekt Venona,"['Bridge, Projekt', 'Operacja Venona', 'Projekt Bridge', 'Venona, Projekt']","['Wywiad amerykański', 'Wywiad angielski']",['Wywiad radziecki'],,,,
Wywiad czeski,,,['Wywiad'],,,,
Materiały wybuchowe emulsyjne,"['EMW', 'MWE', 'Emulsyjne materiały wybuchowe']","['Materiały wybuchowe', 'Emulsje']",,,,,
Wywiad wojskowy radziecki,"['Wywiad wojskowy Związku Radzieckiego', 'Radziecki wywiad wojskowy']",['Wywiad radziecki'],['Wywiad wojskowy'],,,,
Wywiad państwa krzyżackiego,['Wywiad krzyżackiego państwa'],,['Wywiad'],,,,
Wywiad litewski,,,['Wywiad'],['Wywiad wojskowy litewski'],,,
Wywiad pruski,,,['Wywiad'],,,,
Wywiad rumuński,,,['Wywiad'],,,,
Wywiad szwedzki,,,['Wywiad'],,,,
Wywiad wojskowy angielski,"['Wywiad wojskowy brytyjski', 'Angielski wywiad wojskowy', 'Brytyjski wywiad wojskowy']",['Wywiad angielski'],"['Akcja V-1, V-2', 'Operacja Mincemeat (1943)', 'Wywiad wojskowy']",,,,
Wywiad wojskowy francuski,['Francuski wywiad wojskowy'],['Wywiad francuski'],['Wywiad wojskowy'],,,,
Wywiad wojskowy izraelski,['Izraelski wywiad wojskowy'],['Wywiad izraelski'],['Wywiad wojskowy'],,,,
Wywiad wojskowy rosyjski,['Rosyjski wywiad wojskowy'],['Wywiad rosyjski'],['Wywiad wojskowy'],,,,
Wywiad wojskowy słowacki,['Słowacki wywiad wojskowy'],,['Wywiad wojskowy'],,,,
Wywiad wojskowy ukraiński,['Ukraiński wywiad wojskowy'],['Wywiad ukraiński'],['Wywiad wojskowy'],,,,
Kosynierzy,,['Piechota'],"['Kosa bojowa', 'Insurekcja kościuszkowska (1794)']",,,,
Osmologia kryminalistyczna,"['Odorologia kryminalistyczna', 'Ślady osmologiczne']",['Kryminalistyka'],['Pies policyjny'],,,,
Koktajl Mołotowa,"['Butelka zapalająca', 'Mołotowa, koktajl']",['Środki zapalające'],,,,,
Wywiad bułgarski,,,['Wywiad'],,,,
Ła-9 (samolot myśliwski),"['Lavochkin Ła-9', 'Lavočkin Ła-9', 'Ławoczkin Ła-9']",['Samoloty myśliwskie'],,,,,
Ogólnoświatowy System Bezpieczeństwa i Alarmowania (GMDSS),"['GMDSS, Ogólnoświatowy System Bezpieczeństwa i Alarmowania', 'System GMDSS', 'GMDSS (system)', 'Global Maritime Distress and Safety System', 'Globalny Morski System Łączności Alarmowej i Bezpieczeństwa', 'SMDSM', 'Système mondial de détresse et de sécurité en mer', 'Światowy Morski System Łączności Alarmowej i Bezpieczeństwa', 'Światowy System Łączności w Niebezpieczeństwie i Bezpieczeństwa na Morzu']","['Łączność satelitarna', 'Radiokomunikacja morska']",['Żegluga'],,,,
Mazur (okręt),['ORP Mazur'],['Okręty wojenne'],,,,,
Kujawiak (niszczyciel eskortowy),['ORP Kujawiak (1940)'],['Hunt (niszczyciele eskortowe)'],,,,,
Bałtyk (okręt),['ORP Bałtyk'],['Okręty wojenne'],,,,,
Kronan (okręt),,['Okręty wojenne'],,,,,
Nauki o obronności,"['Military art and science', 'Nauki wojskowe', 'Nauki wojenne', 'Nauki o wojsku i wojnie']",['Nauka'],"['Ekonomika wojenna', 'Język haseł przedmiotowych nauk wojskowych', 'Medycyna wojskowa', 'Nauki o bezpieczeństwie', 'Pedagogika wojskowa', 'Specjaliści ds. bezpieczeństwa i obronności', 'Technika wojskowa', 'Teoretycy wojskowości', 'Wojna', 'Wojsko']","['Geografia wojenna', 'Inżynieria wojskowa', 'Sztuka wojenna']",,,
Wspólna Polityka Bezpieczeństwa i Obrony UE,"['Common Security and Defence Policy', 'CSDP', 'European Security and Defence Policy', 'ESDP', 'WPBiO']",,"['Bezpieczeństwo międzynarodowe', 'Globalna strategia UE', 'Stała współpraca strukturalna (PESCO)', 'Wspólna Polityka Zagraniczna i Bezpieczeństwa UE']",,,,
Bunkry,"['Bunkier', 'Bunkers (Fortification)']","['Budownictwo podziemne', 'Fortyfikacje polowe']",,"['Bunkier V-3 (Mimoyecques)', 'Führerbunker (Berlin)', 'Schron bojowy Sowiniec (Obszar Warowny Śląsk)']",,,
Patrole policyjne,"['Patrole interwencyjne policji', 'Patrole jednoosobowe policji', 'Służba patrolowa policji']",,"['Interwencja policyjna', 'Policja']",,,,
Wilk (okręt podwodny ; 1931-1946),"['Wilk (okręt)', 'Okręt podwodny Wilk (1931-1946)', 'Okręt Rzeczypospolitej Polskiej Wilk (1931-1946)', 'ORP Wilk (1929)', 'ORP Wilk (1931-1946)']",['Okręty podwodne'],,,,,
Samoloty bombowe lekkie,,"['Samoloty bombowe', 'Samoloty lekkie']",,['Fairey Battle (samolot bombowy)'],,,
Scorpion (okręt),"['SSN-589', 'USS Scorpion']",['Okręty wojenne'],,,,,
Tang (okręt podwodny),"['USS Tang', 'SS-306']",['Okręty podwodne'],,,,,
Viribus Unitis (okręt),['SMS Viribus Unitis'],['Okręty wojenne'],,,,,
Ratownictwo nurkowe,,['Ratownictwo wodne'],"['DiveSMART Baltic', 'Nurkowanie']",,,,
Przestępcy wojenni,"['Zbrodniarze wojenni', 'War criminals']",['Przestępcy'],"['Procesy przestępców wojennych', 'Przestępstwo wojenne', 'Ściganie zbrodniarzy wojennych']",,,,
Wywiad duński,,,['Wywiad'],,,,
Fonoskopia,"['Akustyka kryminalistyczna', 'Badania fonoskopijne']","['Akustyka', 'Kryminalistyka']",['Analizator głosu'],,,,
Potëmkin (okręt),"['Kniaź Potiomkin-Tawriczeskij (okręt)', 'Pancernik Potiomkin', 'Potëmkin-Tavričeskij (okręt)', 'Potiomkin (okręt)']",['Okręty wojenne'],,,,,
Działania sieciocentryczne,"['NCW', 'Network Centric Warfare', 'Walka sieciocentryczna', 'Wojna sieciocentryczna', 'Network-centric operations (Military science)']",['Walka informacyjna'],['Dowodzenie (wojsko)'],,,,
Walka elektroniczna,"['Electronic warfare', 'Electronics in military engineering', 'Walka radioelektroniczna']",['Walka informacyjna'],"['System rozpoznania radioelektronicznego', 'Urządzenia elektroniczne']",,,,
Buława,['Buławy'],"['Broń obuchowa', 'Insygnia']",,,,,
Buzdygan,,"['Broń obuchowa', 'Insygnia']",,,,,
Jednostki antyterrorystyczne,"['Oddziały antyterrorystyczne', 'Antyterroryści', 'Antiterror units']","['Policja', 'Siły specjalnego przeznaczenia']","['Antyterroryzm', 'Kontrterroryzm', 'Terroryzm']",,,,
Pociski przeciwpancerne,"['Amunicja tandemowa', 'Naboje przebijające', 'Naboje przeciwpancerne', 'Armour-piercing shells']","['Broń przeciwpancerna', 'Pociski']",,"['3M6 Trzmiel', 'Pociski kumulacyjne', 'Przeciwpancerne pociski podkalibrowe']",,,
Odznaka Za Obronę Śląska,"['Medal Za Obronę Śląska', 'Odznaka Za Obronę Śląska 1919']",['Ordery i odznaczenia'],,,,,
Gryf (stawiacz min),"['Gryf (okręt ; 1938-39)', 'ORP Gryf (1938-39)', 'ORP Gryf (1936)', 'Stawiacz min Gryf', 'Stawiacz min ORP Gryf']",['Okręty wojenne'],,,,,
Krakowiak (niszczyciel eskortowy),['ORP Krakowiak (1941)'],['Hunt (niszczyciele eskortowe)'],,,,,
Ślązak (niszczyciel eskortowy),['ORP Ślązak (1942)'],['Hunt (niszczyciele eskortowe)'],,,,,
Motocykl wojskowy,"['Motocykle wojskowe', 'Motorcycles, Military']","['Motocykl', 'Pojazdy wojskowe']",,,,,
Niszczyciele eskortowe,"['Destroyer escorts', 'Niszczyciel eskortowy']",['Niszczyciele (okręty)'],,"['Eldridge (niszczyciel eskortowy)', 'Hunt (niszczyciele eskortowe)']",,,
Niszczyciele (okręty),"['Kontrtorpedowce', 'Destroyers (Warships)']",['Okręty wojenne'],"['Plan ""Peking"" (1939)']","['Akizuki (niszczyciele ; 1942-1945)', 'Eilat (okręt)', 'Fubuki (niszczyciele)', 'Grom (niszczyciel ; 1937-1940)', 'Grom (niszczyciel ; 1957-1973)', 'Niszczyciele eskortowe', 'Niszczyciele rakietowe', 'Niszczyciele typu 1936A', 'Orkan (niszczyciel ; 1942-1943)', 'Piorun (niszczyciel ; 1940-1945)', 'Shimakaze (okręt ; 1942-1944)', 'Wicher II (niszczyciel ; 1949-1974)']",,,
