,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
S-4 (ścigacz artyleryjski),"['ORP S-4 (ścigacz artyleryjski)', 'Ścigacz artyleryjski ORP S-4', 'Ścigacz artyleryjski S-4']",['Ścigacze artyleryjskie'],,,,,
AHS Krab (armatohaubica samobieżna),"['155 mm armatohaubica Krab', '155 mm haubica Krab', 'AHS Krab (działo samobieżne)', 'Armatohaubica Krab', 'Armatohaubica samobieżna 155 mm Krab', 'Działo samobieżne Krab', 'Haubica Krab', 'Krab (armatohaubica samobieżna)', 'Krab (działo samobieżne)', 'Samobieżna armatohaubica Krab', 'Samobieżna haubica Krab', 'Samobieżne działo Krab']","['Działa samobieżne', 'Haubicoarmaty']",,,,,
M-346 (samolot wojskowy szkolny),"['Alenia Aermacchi M-346 (samolot wojskowy szkolny)', 'Alenia Aermacchi M-346 Master (samolot wojskowy szkolny)', 'Bielik, M-346 (samolot wojskowy szkolny)', 'Leonardo M-346 Bielik (samolot wojskowy szkolny)', 'M-346 Bielik (samolot wojskowy szkolny)', 'M-346 Master (samolot wojskowy szkolny)', 'Master, M-346 (samolot wojskowy szkolny)']",['Samoloty wojskowe szkolne'],,,,,
EUFOR Concordia (operacja pokojowa),"['European Union Military Operation in the Former Yugoslav Republic of Macedonia', 'Operacja Concordia', 'Operation Concordia EUFOR']",,['Operacje pokojowe'],,,,
EUFOR Tchad-RCA (operacja pokojowa),"['EUFOR Chad-CAR', 'EUFOR Czad-RŚA', 'EUFOR Tchad-RCA (military operation)', 'European Union Military Operation in Chad and the Central African Republic', 'Operacja pokojowa UE w Czadzie i RŚA']",,['Operacje pokojowe'],,,,
EUFOR RD Congo (operacja pokojowa),"['EUFOR RD Kongo', 'EUFOR DRK', 'European Union Military Operation in the Democratic Republic of the Congo', 'Operacja pokojowa w DRK']",,['Operacje pokojowe'],,,,
EUFOR RCA (operacja pokojowa),"['European Union Military Operation in the Central African Republic', 'Operacja pokojowa UE w Republice Środkowoafrykańskiej']",,['Operacje pokojowe'],,,,
Misja szkoleniowa UE w Mali,"['Misja UE w Mali', 'EUTM Mali', 'EU Training Mission in Mali', 'European Training Mission in Mali', ""Mission de formation de l'Union européenne au Mali""]",,['Współpraca wojskowa'],,,,
Broń antysatelitarna,"['Anti-satellite weapon', 'ASAT (broń antysatelitarna)', 'Bronie antysatelitarne', 'Space weapons', 'Protivosputnikovoe oružie', 'Противоспутниковое оружие']",['Broń'],"['Broń rakietowa', 'Sztuczny satelita', 'Wyścig kosmiczny']",,,,
Astropolityka,"['Astropolitics', 'Politics of outer space', 'Polityka kosmiczna']",['Geopolityka'],"['Bezpieczeństwo międzynarodowe', 'Przestrzeń kosmiczna', 'Wyścig kosmiczny']",,,,
"3,7 cm Flak 18/36/37/43 (armata przeciwlotnicza)","['3,7 cm Flak 18 (armata przeciwlotnicza)', '3,7 cm Flak 36 (armata przeciwlotnicza)', '3,7 cm Flak 37 (armata przeciwlotnicza)', '3,7 cm Flak 43 (armata przeciwlotnicza)', '3,7 cm Flugabwehrkanone 18/36/37/43 (armata przeciwlotnicza)', '3,7 Flak 18 (armata przeciwlotnicza)', '3,7 Flak 36 (armata przeciwlotnicza)', '3,7 Flak 37 (armata przeciwlotnicza)', '3,7 Flak 43 (armata przeciwlotnicza)', '37 mm Flak 18/36/37/43 (armata przeciwlotnicza)', '37 mm Flak 18 (armata przeciwlotnicza)', '37 mm Flak 36 (armata przeciwlotnicza)', '37 mm Flak 37 (armata przeciwlotnicza)', '37 mm Flak 43 (armata przeciwlotnicza)', 'Armata przeciwlotnicza 3,7 cm Flak 18/36/37/43', 'Armata przeciwlotnicza 3,7 cm Flak 18', 'Armata przeciwlotnicza 3,7 cm Flak 36', 'Armata przeciwlotnicza 3,7 cm Flak 37', 'Armata przeciwlotnicza 3,7 cm Flak 43']",['Armaty przeciwlotnicze'],,,,,
Projekt Manhattan (1942-1946),"['Manhattan Engineering District (MED)', 'MED, Manhattan Project', 'Manhattan Project', 'Projekt Manhattan (1942-1947)']",,"['II wojna światowa (1939-1945)', 'Atak atomowy na Hiroszimę i Nagasaki (1945)', 'Broń jądrowa']",,,,
Avia B-135 (samolot myśliwski),"['Avia B.135 (samolot myśliwski)', 'Samolot Avia B-135 (samolot myśliwski)']",['Samoloty myśliwskie'],,,,,
Blackburn Shark (samolot wojskowy),"['Blackburn Shark (samolot rozpoznawczy)', 'Blackburn Shark (samolot torpedowy)', 'Blackburn B-6 Shark (samolot wojskowy)', 'Blackburn Shark Mk I (samolot wojskowy)', 'Blackburn Shark Mk II (samolot wojskowy)', 'Blackburn Shark Mk IIA (samolot wojskowy)', 'Blackburn Shark Mk III (samolot wojskowy)', 'Blackburn Shark (wodnosamolot)', 'Samolot Blackburn Shark (samolot wojskowy)', 'Samolot Shark (samolot wojskowy)', 'Shark (samolot wojskowy)']","['Dwupłatowce', 'Samoloty wojskowe']",,,,,
Hakownica,"['Hackbut', 'Hackbuts', 'Hakownice']",['Broń palna'],,,,,
Pododdział (wojsko),"['Pododdziały (wojsko)', 'Subunit (military)', 'Subunits (military)']",,"['Jednostki wojskowe', 'Wojsko']","['Batalion (wojsko)', 'Bateria (pododdział)', 'Drużyna (pododdział)', 'Dywizjon', 'Eskadra (wojsko)', 'Kompania (wojsko)', 'Pluton (pododdział)']",,,
Drużyna (pododdział),"['Drużyny (pododdziały)', 'Section (military)']",['Pododdział (wojsko)'],,,,,
Pluton (pododdział),"['Plutony (pododdziały)', 'Platoon (military)']",['Pododdział (wojsko)'],,,,,
Kierowanie ogniem,,['Dowodzenie (wojsko)'],"['Broń palna', 'Strzelanie']",,,,
Jakowlew Jak-23 (samolot myśliwski),"['Jak-23 (samolot myśliwski)', 'Jakovlev Jak-23 (samolot myśliwski)', 'Samolot Jak-23 (samolot myśliwski)', 'Samolot Jakovlev Jak-23 (samolot myśliwski)', 'Samolot Jakowlew Jak-23 (samolot myśliwski)', 'Yak-23 (samolot myśliwski)', 'Yakovlev Yak-23 (samolot myśliwski)', 'Як-23 (samolot myśliwski)', 'Яковлев Як-23 (samolot myśliwski)']",['Samoloty myśliwskie'],,,,,
2 cm Flak 38 (armata przeciwlotnicza),"['2-cm-Flak 38 (armata przeciwlotnicza)', '2 cm Fliegerabwehrkanone 38 (armata przeciwlotnicza)', '20 mm Flak 38 (armata przeciwlotnicza)', '20-mm-Flak 38 (armata przeciwlotnicza)', '20 mm Fliegerabwehrkanone 38 (armata przeciwlotnicza)', 'Armata przeciwlotnicza 2 cm Flak 38', 'Armata przeciwlotnicza 20 mm Flak 38']",['Armaty przeciwlotnicze'],['Sd.Kfz. 10/5 (samobieżne działo przeciwlotnicze)'],,,,
